lam cdt cau mel
0.0000 0.0017 0.0017 0.0000
0.0102 0.0017 0.0017 0.0243
0.0203 0.0035 0.0017 0.0365
0.0305 0.0087 0.0017 0.0486
0.0407 0.0122 0.0017 0.0590
0.0508 0.0139 0.0017 0.0677
0.0610 0.0156 0.0017 0.0764
0.0712 0.0156 0.0017 0.0885
0.0814 0.0208 0.0017 0.0955
0.0915 0.0295 0.0017 0.0990
0.1017 0.0295 0.0017 0.1059
0.1119 0.0295 0.0017 0.1128
0.1220 0.0347 0.0017 0.1198
0.1322 0.0399 0.0017 0.1267
0.1424 0.0399 0.0017 0.1285
0.1525 0.0399 0.0017 0.1319
0.1627 0.0399 0.0017 0.1354
0.1729 0.0469 0.0052 0.1458
0.1831 0.0521 0.0052 0.1545
0.1932 0.0556 0.0052 0.1597
0.2034 0.0608 0.0052 0.1649
0.2136 0.0642 0.0052 0.1701
0.2237 0.0677 0.0069 0.1719
0.2339 0.0712 0.0087 0.1771
0.2441 0.0712 0.0087 0.1806
0.2542 0.0712 0.0087 0.1875
0.2644 0.0729 0.0104 0.1927
0.2746 0.0747 0.0104 0.1944
0.2847 0.0781 0.0122 0.2031
0.2949 0.0833 0.0122 0.2049
0.3051 0.0903 0.0139 0.2101
0.3153 0.0972 0.0139 0.2153
0.3254 0.1024 0.0156 0.2188
0.3356 0.1024 0.0174 0.2222
0.3458 0.1042 0.0191 0.2309
0.3559 0.1094 0.0208 0.2326
0.3661 0.1128 0.0226 0.2378
0.3763 0.1146 0.0243 0.2431
0.3864 0.1163 0.0260 0.2465
0.3966 0.1181 0.0295 0.2483
0.4068 0.1198 0.0330 0.2535
0.4169 0.1233 0.0347 0.2552
0.4271 0.1267 0.0365 0.2569
0.4373 0.1337 0.0399 0.2639
0.4475 0.1389 0.0417 0.2708
0.4576 0.1441 0.0451 0.2708
0.4678 0.1476 0.0486 0.2726
0.4780 0.1528 0.0538 0.2778
0.4881 0.1545 0.0573 0.2812
0.4983 0.1562 0.0608 0.2847
0.5085 0.1632 0.0642 0.2934
0.5186 0.1649 0.0694 0.2969
0.5288 0.1684 0.0729 0.3038
0.5390 0.1719 0.0764 0.3073
0.5492 0.1753 0.0816 0.3125
0.5593 0.1788 0.0868 0.3142
0.5695 0.1806 0.0938 0.3229
0.5797 0.1875 0.0972 0.3281
0.5898 0.1927 0.1042 0.3385
0.6000 0.1962 0.1094 0.3385
