logsig cdt cau mel
-2.0000 0.0200 0.0200 0.0199
-1.9551 0.0221 0.0222 0.0221
-1.9101 0.0245 0.0246 0.0245
-1.8652 0.0272 0.0272 0.0271
-1.8202 0.0302 0.0302 0.0301
-1.7753 0.0335 0.0335 0.0333
-1.7303 0.0371 0.0371 0.0369
-1.6854 0.0411 0.0412 0.0409
-1.6404 0.0456 0.0457 0.0453
-1.5955 0.0505 0.0506 0.0502
-1.5506 0.0560 0.0561 0.0556
-1.5056 0.0621 0.0622 0.0616
-1.4607 0.0688 0.0690 0.0682
-1.4157 0.0763 0.0765 0.0755
-1.3708 0.0846 0.0848 0.0836
-1.3258 0.0937 0.0940 0.0926
-1.2809 0.1038 0.1042 0.1024
-1.2360 0.1150 0.1154 0.1133
-1.1910 0.1274 0.1279 0.1253
-1.1461 0.1412 0.1418 0.1386
-1.1011 0.1564 0.1571 0.1531
-1.0562 0.1731 0.1741 0.1692
-1.0112 0.1917 0.1929 0.1869
-0.9663 0.2122 0.2137 0.2063
-0.9213 0.2349 0.2366 0.2276
-0.8764 0.2599 0.2621 0.2509
-0.8315 0.2875 0.2902 0.2765
-0.7865 0.3179 0.3213 0.3044
-0.7416 0.3514 0.3556 0.3349
-0.6966 0.3884 0.3935 0.3681
-0.6517 0.4290 0.4354 0.4041
-0.6067 0.4736 0.4816 0.4432
-0.5618 0.5226 0.5325 0.4853
-0.5169 0.5763 0.5887 0.5307
-0.4719 0.6351 0.6505 0.5794
-0.4270 0.6993 0.7185 0.6313
-0.3820 0.7692 0.7932 0.6864
-0.3371 0.8453 0.8753 0.7446
-0.2921 0.9278 0.9653 0.8055
-0.2472 1.0169 1.0639 0.8687
-0.2022 1.1128 1.1717 0.9337
-0.1573 1.2154 1.2894 0.9997
-0.1124 1.3247 1.4176 1.0659
-0.0674 1.4402 1.5570 1.1311
-0.0225 1.5612 1.7083 1.1940
0.0225 1.6867 1.8718 1.2533
0.0674 1.8151 2.0480 1.3075
0.1124 1.9445 2.2373 1.3551
0.1573 2.0721 2.4396 1.3949
0.2022 2.1948 2.6547 1.4257
0.2472 2.3088 2.8822 1.4471
0.2921 2.4098 3.1210 1.4589
0.3371 2.4937 3.3695 1.4616
0.3820 2.5565 3.6255 1.4563
0.4270 2.5955 3.8858 1.4445
0.4719 2.6094 4.1461 1.4279
0.5169 2.5991 4.4009 1.4084
0.5618 2.5680 4.6431 1.3875
0.6067 2.5211 4.8636 1.3667
0.6517 2.4648 5.0515 1.3470
0.6966 2.4056 5.1939 1.3290
0.7416 2.3485 5.2759 1.3130
0.7865 2.2971 5.2822 1.2993
0.8315 2.2532 5.1980 1.2877
0.8764 2.2167 5.0122 1.2783
0.9213 2.1870 4.7207 1.2708
0.9663 2.1627 4.3293 1.2652
1.0112 2.1427 3.8555 1.2611
1.0562 2.1260 3.3279 1.2584
1.1011 2.1118 2.7812 1.2570
1.1461 2.0995 2.2501 1.2567
1.1910 2.0889 1.7631 1.2574
1.2360 2.0795 1.3386 1.2590
1.2809 2.0712 0.9851 1.2613
1.3258 2.0638 0.7022 1.2642
1.3708 2.0573 0.4841 1.2675
1.4157 2.0514 0.3220 1.2712
1.4607 2.0462 0.2058 1.2749
1.5056 2.0415 0.1259 1.2784
1.5506 2.0372 0.0732 1.2817
1.5955 2.0331 0.0402 1.2844
1.6404 2.0287 0.0208 1.2866
1.6854 2.0234 0.0100 1.2883
1.7303 2.0157 0.0044 1.2895
1.7753 2.0033 0.0018 1.2906
1.8202 1.9828 0.0006 1.2917
1.8652 1.9499 0.0002 1.2929
1.9101 1.8989 0.0001 1.2944
1.9551 1.8244 0.0000 1.2962
2.0000 1.7215 0.0000 1.2982
