tau cdt cau mel dust
0.05012 0.0992 0.0995 0.0979 0.1001
0.05292 0.1047 0.1051 0.1033 0.1056
0.05587 0.1105 0.1109 0.1089 0.1115
0.05899 0.1166 0.1170 0.1148 0.1178
0.06228 0.1231 0.1235 0.1211 0.1243
0.06576 0.1299 0.1304 0.1276 0.1313
0.06943 0.1370 0.1376 0.1346 0.1386
0.07331 0.1446 0.1452 0.1418 0.1463
0.07740 0.1525 0.1533 0.1495 0.1545
0.08173 0.1609 0.1617 0.1575 0.1631
0.08629 0.1698 0.1707 0.1660 0.1723
0.09111 0.1791 0.1801 0.1749 0.1819
0.09619 0.1890 0.1901 0.1843 0.1920
0.10156 0.1993 0.2006 0.1941 0.2027
0.10724 0.2102 0.2117 0.2044 0.2141
0.11322 0.2218 0.2233 0.2153 0.2260
0.11954 0.2339 0.2356 0.2266 0.2386
0.12622 0.2466 0.2486 0.2386 0.2519
0.13327 0.2601 0.2623 0.2511 0.2660
0.14071 0.2743 0.2767 0.2643 0.2809
0.14856 0.2892 0.2919 0.2780 0.2965
0.15686 0.3049 0.3079 0.2925 0.3131
0.16562 0.3214 0.3248 0.3076 0.3306
0.17486 0.3388 0.3426 0.3234 0.3490
0.18463 0.3570 0.3614 0.3399 0.3685
0.19493 0.3763 0.3811 0.3573 0.3890
0.20582 0.3965 0.4019 0.3753 0.4108
0.21731 0.4178 0.4238 0.3942 0.4337
0.22944 0.4401 0.4469 0.4139 0.4579
0.24225 0.4636 0.4712 0.4344 0.4834
0.25578 0.4882 0.4968 0.4558 0.5104
0.27006 0.5141 0.5237 0.4781 0.5389
0.28514 0.5413 0.5520 0.5012 0.5690
0.30106 0.5698 0.5818 0.5253 0.6007
0.31787 0.5997 0.6132 0.5502 0.6342
0.33562 0.6310 0.6462 0.5760 0.6696
0.35435 0.6638 0.6808 0.6028 0.7070
0.37414 0.6981 0.7173 0.6304 0.7464
0.39503 0.7341 0.7556 0.6589 0.7880
0.41709 0.7717 0.7958 0.6883 0.8320
0.44037 0.8109 0.8381 0.7185 0.8784
0.46496 0.8519 0.8825 0.7496 0.9274
0.49092 0.8947 0.9290 0.7813 0.9791
0.51833 0.9393 0.9779 0.8138 1.0336
0.54727 0.9857 1.0292 0.8468 1.0913
0.57783 1.0340 1.0829 0.8805 1.1521
0.61009 1.0841 1.1392 0.9146 1.2163
0.64415 1.1361 1.1982 0.9490 1.2841
0.68012 1.1900 1.2600 0.9837 1.3556
0.71809 1.2457 1.3246 1.0185 1.4311
0.75819 1.3032 1.3922 1.0532 1.5108
0.80052 1.3625 1.4628 1.0878 1.5949
0.84521 1.4235 1.5366 1.1219 1.6836
0.89240 1.4860 1.6136 1.1555 1.7773
0.94223 1.5499 1.6939 1.1884 1.8761
0.99484 1.6151 1.7776 1.2202 1.9804
1.05038 1.6814 1.8647 1.2509 2.0904
1.10903 1.7485 1.9553 1.2802 2.2064
1.17095 1.8162 2.0495 1.3079 2.3288
1.23633 1.8842 2.1473 1.3338 2.4579
1.30536 1.9520 2.2487 1.3577 2.5941
1.37824 2.0193 2.3537 1.3793 2.7376
1.45520 2.0857 2.4622 1.3987 2.8889
1.53644 2.1506 2.5743 1.4155 3.0482
1.62223 2.2135 2.6899 1.4298 3.2161
1.71280 2.2739 2.8089 1.4414 3.3929
1.80844 2.3310 2.9310 1.4503 3.5789
1.90941 2.3844 3.0563 1.4567 3.7745
2.01602 2.4333 3.1843 1.4604 3.9801
2.12858 2.4772 3.3149 1.4617 4.1958
2.24743 2.5154 3.4477 1.4608 4.4221
2.37291 2.5476 3.5824 1.4577 4.6589
2.50540 2.5733 3.7184 1.4527 4.9063
2.64528 2.5922 3.8553 1.4461 5.1640
2.79298 2.6042 3.9923 1.4382 5.4317
2.94892 2.6092 4.1288 1.4291 5.7084
3.11357 2.6075 4.2639 1.4192 5.9926
3.28741 2.5995 4.3967 1.4087 6.2823
3.47096 2.5856 4.5261 1.3978 6.5741
3.66475 2.5666 4.6508 1.3868 6.8634
3.86937 2.5433 4.7695 1.3758 7.1435
4.08541 2.5167 4.8806 1.3651 7.4050
4.31352 2.4876 4.9826 1.3546 7.6351
4.55436 2.4570 5.0734 1.3445 7.8166
4.80864 2.4258 5.1512 1.3349 7.9275
5.07713 2.3948 5.2139 1.3259 7.9404
5.36060 2.3647 5.2591 1.3175 7.8247
5.65990 2.3359 5.2847 1.3096 7.5499
5.97592 2.3089 5.2884 1.3024 7.0934
6.30957 2.2839 5.2681 1.2958 6.4509
